split,total,true_edges,pred_edges,tp,fp,fn,tn,precision,recall,f1,auc,ap
Train,39880,1744,2080,1743,337,1,37799,0.8379807692307693,0.9994266055045872,0.9116108786610879,0.9968668312033417,0.9117100099907037
Validation,8379,299,406,179,227,120,7853,0.4408866995073892,0.5986622073578596,0.5078014184397163,0.9542282029206265,0.5037541026938228
Test,10434,528,512,380,132,148,9774,0.7421875,0.7196969696969697,0.7307692307692307,0.9609185242797447,0.8085932173209126
