split,Precision,Recall,F1,AP,AUC,PredEdges,TP,FP,FN
Train,0.8408104196816208,0.9994266055045872,0.9132826827351324,0.8870067614405535,0.9965075499949,2073,1743,330,1
Validation,0.4475,0.5986622073578596,0.5121602288984263,0.44372849453038576,0.9515010844729959,400,179,221,120
Test,0.7392996108949417,0.7196969696969697,0.7293666026871402,0.7189470356708026,0.9569330494527344,514,380,134,148
