split,Precision,Recall,F1,AP,AUC,PredEdges,TP,FP,FN
Train,0.8435835351089589,0.9988532110091743,0.9146757679180887,0.903934529388644,0.9967463140128137,2065,1742,323,2
Validation,0.4502487562189055,0.6053511705685619,0.5164051355206848,0.44137453741796845,0.950113621311964,402,181,221,118
Test,0.7392996108949417,0.7196969696969697,0.7293666026871402,0.7207293991701548,0.9567345930534906,514,380,134,148
