condition,n_features,features,Validation_Stage2A_AUC,Validation_Stage2A_AP,Test_Stage2A_AUC,Test_Stage2A_AP,lambda_0,lambda_t,Validation_Precision,Validation_Recall,Validation_F1,Test_Precision,Test_Recall,Test_F1,Test_AP,Test_AUC,Test_PredEdges,Test_TP,Test_FP,Test_FN
stage1_only,1,stage1_prob,0.8188560433426918,0.5117144709502096,0.9186365115191444,0.8399892288845451,0.05,0.3,0.4475,0.5986622073578596,0.5121602288984263,0.7416829745596869,0.7178030303030303,0.7295476419634264,0.7757758951833202,0.9587370334171516,511,379,132,149
core5,5,stage1_prob|distance_num|q1_len|a1_len|q2_len,0.8186997192461192,0.4735517461426897,0.9031446349051424,0.7637392509307007,0.0,0.3,0.4475,0.5986622073578596,0.5121602288984263,0.7392996108949417,0.7196969696969697,0.7293666026871402,0.7189470356708026,0.9569330494527344,514,380,134,148
full23,23,stage1_prob|stage1_complaint_prob|stage1_challenge_prob|stage1_structured_prob|answer_unsatisfied_score|q2_pressure_score|q2_challenge_score|q2_explain_only_score|evidence_score|structured_bridge_rule_score|structured_answer_state_score|structured_answer_commitment_score|structured_answer_numeric_score|structured_q2_continuation_need_score|structured_followup_action_score|structured_reference_score|structured_shared_object_score|structured_a1_shared_object_score|q1_len|a1_len|q2_len|distance_num|topic_shift_score,0.8104470659330973,0.4663125863267642,0.9001565708940809,0.766124880236902,0.0,0.4,0.4502487562189055,0.6053511705685619,0.5164051355206848,0.7392996108949417,0.7196969696969697,0.7293666026871402,0.7207293991701548,0.9567345930534906,514,380,134,148
