split,total,true_edges,pred_edges,tp,fp,fn,tn,precision,recall,f1,auc,ap
Train,39880,1744,2063,1743,320,1,37816,0.8448860882210373,0.9994266055045872,0.9156816390858944,0.9968668312033417,0.9117100099907037
Validation,8379,299,401,179,222,120,7858,0.4463840399002494,0.5986622073578596,0.5114285714285715,0.9542282029206265,0.5037541026938228
Test,10434,528,507,378,129,150,9777,0.7455621301775148,0.7159090909090909,0.7304347826086957,0.9609185242797447,0.8085932173209126
