condition,Validation_Precision,Validation_Recall,Validation_F1,Validation_PredEdges,Test_Precision,Test_Recall,Test_F1,Test_AP,Test_AUC,Test_PredEdges,Test_TP,Test_FP,Test_FN,lambda_0,lambda_t
M0,0.4408866995073892,0.5986622073578596,0.5078014184397163,406,0.7421875,0.7196969696969697,0.7307692307692307,0.8085932173209126,0.9609185242797447,512,380,132,148,,
M1,0.4463840399002494,0.5986622073578596,0.5114285714285715,401,0.7455621301775148,0.7159090909090909,0.7304347826086957,0.8085932173209126,0.9609185242797447,507,378,129,150,0.4,
M2,0.4475,0.5986622073578596,0.5121602288984263,400,0.7416829745596869,0.7178030303030303,0.7295476419634264,0.7757758951833202,0.9587370334171516,511,379,132,149,0.05,0.3
