split,Precision,Recall,F1,AP,AUC,PredEdges,TP,FP,FN
Train,0.8416224046354418,0.9994266055045872,0.9137614678899083,0.900479569255059,0.9966179633176675,2071,1743,328,1
Validation,0.4475,0.5986622073578596,0.5121602288984263,0.4830698976912955,0.9524216447564489,400,179,221,120
Test,0.7416829745596869,0.7178030303030303,0.7295476419634264,0.7757758951833202,0.9587370334171516,511,379,132,149
